,itemsets,support
0,"frozenset({'아시아', '경제'})",0.010187667560321715
1,"frozenset({'대통령', '경제'})",0.011260053619302948
2,"frozenset({'무단', '기자'})",0.030026809651474532
3,"frozenset({'배포', '기자'})",0.027613941018766755
4,"frozenset({'금지', '기자'})",0.026541554959785524
5,"frozenset({'서울', '기자'})",0.016621983914209115
6,"frozenset({'저작권', '기자'})",0.028150134048257374
7,"frozenset({'무단', '배포'})",0.046380697050938335
8,"frozenset({'무단', '금지'})",0.04504021447721179
9,"frozenset({'무단', '랙티브'})",0.0160857908847185
10,"frozenset({'무단', '화보'})",0.0160857908847185
11,"frozenset({'인터', '무단'})",0.0160857908847185
12,"frozenset({'무단', '서울'})",0.016353887399463807
13,"frozenset({'무단', '저작권'})",0.04584450402144772
14,"frozenset({'무단', '인격'})",0.010187667560321715
15,"frozenset({'배틀', '무단'})",0.014477211796246649
16,"frozenset({'무단', '이토'})",0.010455764075067025
17,"frozenset({'금지', '배포'})",0.04477211796246649
18,"frozenset({'랙티브', '배포'})",0.01581769436997319
19,"frozenset({'화보', '배포'})",0.01581769436997319
20,"frozenset({'인터', '배포'})",0.01581769436997319
21,"frozenset({'서울', '배포'})",0.014745308310991957
22,"frozenset({'저작권', '배포'})",0.043431635388739946
23,"frozenset({'배포', '인격'})",0.010187667560321715
24,"frozenset({'배틀', '배포'})",0.013941018766756031
25,"frozenset({'이토', '배포'})",0.010455764075067025
26,"frozenset({'금지', '랙티브'})",0.015013404825737266
27,"frozenset({'금지', '화보'})",0.015013404825737266
28,"frozenset({'인터', '금지'})",0.015013404825737266
29,"frozenset({'서울', '금지'})",0.014209115281501341
30,"frozenset({'저작권', '금지'})",0.042091152815013404
31,"frozenset({'금지', '인격'})",0.010187667560321715
32,"frozenset({'배틀', '금지'})",0.013672922252010724
33,"frozenset({'금지', '이토'})",0.010455764075067025
34,"frozenset({'위안부', '일본'})",0.013941018766756031
35,"frozenset({'미국', '일본'})",0.013672922252010724
36,"frozenset({'정부', '일본'})",0.012332439678284183
37,"frozenset({'총리', '일본'})",0.010723860589812333
38,"frozenset({'중국', '일본'})",0.012332439678284183
39,"frozenset({'일본', '아베'})",0.01260053619302949
40,"frozenset({'화보', '랙티브'})",0.018498659517426273
41,"frozenset({'인터', '랙티브'})",0.017962466487935657
42,"frozenset({'저작권', '랙티브'})",0.01742627345844504
43,"frozenset({'인터', '화보'})",0.017962466487935657
44,"frozenset({'저작권', '화보'})",0.01742627345844504
45,"frozenset({'인터', '저작권'})",0.01742627345844504
46,"frozenset({'저작권', '서울'})",0.01903485254691689
47,"frozenset({'전국', '서울'})",0.010723860589812333
48,"frozenset({'예상', '서울'})",0.01099195710455764
49,"frozenset({'배틀', '저작권'})",0.01581769436997319
50,"frozenset({'고객', '유출'})",0.01903485254691689
51,"frozenset({'롯데', '유출'})",0.011796246648793566
52,"frozenset({'카드', '유출'})",0.027882037533512063
53,"frozenset({'금융', '유출'})",0.02225201072386059
54,"frozenset({'정보', '유출'})",0.026005361930294905
55,"frozenset({'피해', '유출'})",0.013404825737265416
56,"frozenset({'국민카드', '유출'})",0.013404825737265416
57,"frozenset({'고객정보', '유출'})",0.012064343163538873
58,"frozenset({'개인정보', '유출'})",0.018230563002680965
