,itemsets,support
0,"frozenset({'투표', '유권자'})",0.010510510510510511
1,"frozenset({'투표', '선거'})",0.02027027027027027
2,"frozenset({'투표', '후보'})",0.013263263263263263
3,"frozenset({'투표', '사전투표'})",0.016516516516516516
4,"frozenset({'투표', '선관위'})",0.012512512512512513
5,"frozenset({'투표', '지방선거'})",0.015515515515515516
6,"frozenset({'투표', '투표소'})",0.012262262262262262
7,"frozenset({'선거', '유권자'})",0.011761761761761762
8,"frozenset({'새누리당', '선거'})",0.02702702702702703
9,"frozenset({'선거', '후보'})",0.03403403403403404
10,"frozenset({'선거', '지방선거'})",0.01901901901901902
11,"frozenset({'선거', '서울'})",0.01026026026026026
12,"frozenset({'선거', '세월호'})",0.01026026026026026
13,"frozenset({'선거', '새정치'})",0.025775775775775774
14,"frozenset({'선거', '교육감'})",0.011511511511511512
15,"frozenset({'선거', '의원'})",0.01026026026026026
16,"frozenset({'선거', '당선'})",0.010510510510510511
17,"frozenset({'혐의', '경찰'})",0.010760760760760761
18,"frozenset({'경찰', '수사'})",0.010510510510510511
19,"frozenset({'경향신문', '경향'})",0.01976976976976977
20,"frozenset({'일본', '정부'})",0.014764764764764765
21,"frozenset({'일본', '중국'})",0.010760760760760761
22,"frozenset({'검증', '일본'})",0.011011011011011011
23,"frozenset({'일본', '위안부'})",0.016266266266266267
24,"frozenset({'일본', '담화'})",0.01126126126126126
25,"frozenset({'혐의', '수사'})",0.016016016016016016
26,"frozenset({'혐의', '검찰'})",0.021521521521521522
27,"frozenset({'혐의', '재판'})",0.014014014014014014
28,"frozenset({'기소', '혐의'})",0.013513513513513514
29,"frozenset({'총리', '인사'})",0.018518518518518517
30,"frozenset({'장관', '인사'})",0.01026026026026026
31,"frozenset({'새누리당', '인사'})",0.013263263263263263
32,"frozenset({'대통령', '인사'})",0.01826826826826827
33,"frozenset({'청와대', '인사'})",0.01901901901901902
34,"frozenset({'후보자', '인사'})",0.01926926926926927
35,"frozenset({'총리', '장관'})",0.011761761761761762
36,"frozenset({'총리', '대통령'})",0.021021021021021023
37,"frozenset({'청와대', '총리'})",0.016766766766766767
38,"frozenset({'검증', '총리'})",0.010510510510510511
39,"frozenset({'후보자', '총리'})",0.027527527527527528
40,"frozenset({'총리', '창극'})",0.013763763763763764
41,"frozenset({'경제', '아시아'})",0.016016016016016016
42,"frozenset({'대통령', '장관'})",0.013263263263263263
43,"frozenset({'청와대', '장관'})",0.014014014014014014
44,"frozenset({'후보자', '장관'})",0.013763763763763764
45,"frozenset({'지방', '기온'})",0.012512512512512513
46,"frozenset({'새누리당', '지사'})",0.011511511511511512
47,"frozenset({'후보', '지사'})",0.012012012012012012
48,"frozenset({'새누리당', '후보'})",0.038288288288288286
49,"frozenset({'새누리당', '지방선거'})",0.012762762762762763
50,"frozenset({'새누리당', '세월호'})",0.012262262262262262
51,"frozenset({'새누리당', '대통령'})",0.015015015015015015
52,"frozenset({'새누리당', '새정치'})",0.04954954954954955
53,"frozenset({'새누리당', '야당'})",0.014264264264264264
54,"frozenset({'새누리당', '지역'})",0.011011011011011011
55,"frozenset({'새누리당', '후보자'})",0.011511511511511512
56,"frozenset({'새누리당', '의원'})",0.025275275275275275
57,"frozenset({'새누리당', '위원장'})",0.010760760760760761
58,"frozenset({'인천', '새누리당'})",0.01026026026026026
59,"frozenset({'새누리당', '국회'})",0.014014014014014014
60,"frozenset({'민주', '새누리당'})",0.01976976976976977
61,"frozenset({'새누리당', '경기'})",0.013013013013013013
