,itemsets,support
0,"frozenset({'북한', '무인항공기'})",0.011607142857142858
1,"frozenset({'북한', '무인기'})",0.01994047619047619
2,"frozenset({'북한', '국방부'})",0.011904761904761904
3,"frozenset({'북한', '백령도'})",0.010714285714285714
4,"frozenset({'북한', '파주'})",0.011904761904761904
5,"frozenset({'북한', '추락'})",0.011011904761904763
6,"frozenset({'북한', '해상'})",0.01011904761904762
7,"frozenset({'무인항공기', '무인기'})",0.01130952380952381
8,"frozenset({'무인기', '비행'})",0.011607142857142858
9,"frozenset({'사망자', '사고'})",0.01011904761904762
10,"frozenset({'사망자', '시신'})",0.011904761904761904
11,"frozenset({'본부', '대책'})",0.012202380952380952
12,"frozenset({'정부', '대책'})",0.01130952380952381
13,"frozenset({'사고', '대책'})",0.017261904761904763
14,"frozenset({'청와대', '대통령'})",0.011607142857142858
15,"frozenset({'대통령', '박근혜'})",0.01011904761904762
16,"frozenset({'선거', '의원'})",0.01011904761904762
17,"frozenset({'선거', '새정치'})",0.020535714285714286
18,"frozenset({'민주', '선거'})",0.014583333333333334
19,"frozenset({'선거', '기초'})",0.01636904761904762
20,"frozenset({'새누리당', '선거'})",0.015476190476190477
21,"frozenset({'대표', '선거'})",0.015476190476190477
22,"frozenset({'선거', '공천'})",0.01607142857142857
23,"frozenset({'선거', '지방선거'})",0.010416666666666666
24,"frozenset({'본부', '사고'})",0.016964285714285713
25,"frozenset({'본부', '세월호'})",0.01636904761904762
26,"frozenset({'무단', '서울'})",0.01011904761904762
27,"frozenset({'기온', '서울'})",0.010416666666666666
28,"frozenset({'배틀', '무비'})",0.02886904761904762
29,"frozenset({'배틀', '화보'})",0.02886904761904762
30,"frozenset({'배틀', '저작권'})",0.028273809523809524
31,"frozenset({'배틀', '기자'})",0.01130952380952381
32,"frozenset({'무단', '배틀'})",0.025892857142857145
33,"frozenset({'배틀', '배포'})",0.025
34,"frozenset({'배틀', '금지'})",0.02619047619047619
35,"frozenset({'무비', '화보'})",0.029166666666666667
36,"frozenset({'저작권', '무비'})",0.028273809523809524
37,"frozenset({'기자', '무비'})",0.01130952380952381
38,"frozenset({'무단', '무비'})",0.025892857142857145
39,"frozenset({'배포', '무비'})",0.025
40,"frozenset({'무비', '금지'})",0.02619047619047619
41,"frozenset({'저작권', '화보'})",0.028273809523809524
42,"frozenset({'기자', '화보'})",0.01130952380952381
43,"frozenset({'무단', '화보'})",0.025892857142857145
44,"frozenset({'배포', '화보'})",0.025
45,"frozenset({'화보', '금지'})",0.02619047619047619
46,"frozenset({'저작권', '기자'})",0.01636904761904762
47,"frozenset({'무단', '저작권'})",0.03244047619047619
48,"frozenset({'배포', '저작권'})",0.030357142857142857
49,"frozenset({'저작권', '금지'})",0.03363095238095238
50,"frozenset({'무단', '기자'})",0.018452380952380953
51,"frozenset({'배포', '기자'})",0.017261904761904763
52,"frozenset({'기자', '금지'})",0.01994047619047619
53,"frozenset({'무단', '배포'})",0.03720238095238095
54,"frozenset({'무단', '금지'})",0.0380952380952381
55,"frozenset({'무단', '이혜훈'})",0.01130952380952381
56,"frozenset({'무단', '이혜경'})",0.0125
57,"frozenset({'무단', '이혜영'})",0.01130952380952381
58,"frozenset({'무단', '이형석'})",0.011607142857142858
59,"frozenset({'무단', '이호준'})",0.011607142857142858
60,"frozenset({'무단', '이형'})",0.011904761904761904
61,"frozenset({'무단', '이현승'})",0.011607142857142858
62,"frozenset({'무단', '이현정'})",0.010714285714285714
63,"frozenset({'무단', '이혼'})",0.010714285714285714
64,"frozenset({'배포', '금지'})",0.03601190476190476
65,"frozenset({'배포', '이혜훈'})",0.01130952380952381
66,"frozenset({'배포', '이혜경'})",0.0125
67,"frozenset({'배포', '이혜영'})",0.01130952380952381
68,"frozenset({'배포', '이형석'})",0.011607142857142858
69,"frozenset({'배포', '이호준'})",0.011607142857142858
70,"frozenset({'배포', '이형'})",0.011904761904761904
71,"frozenset({'이현승', '배포'})",0.011607142857142858
72,"frozenset({'배포', '이현정'})",0.010714285714285714
73,"frozenset({'배포', '이혼'})",0.010714285714285714
74,"frozenset({'진도', '금지'})",0.01011904761904762
75,"frozenset({'이혜훈', '금지'})",0.010714285714285714
76,"frozenset({'이혜경', '금지'})",0.011904761904761904
77,"frozenset({'이혜영', '금지'})",0.01130952380952381
78,"frozenset({'이형석', '금지'})",0.011011904761904763
79,"frozenset({'이호준', '금지'})",0.011011904761904763
80,"frozenset({'이형', '금지'})",0.01130952380952381
81,"frozenset({'이현승', '금지'})",0.011011904761904763
82,"frozenset({'이현정', '금지'})",0.01011904761904762
83,"frozenset({'금지', '이혼'})",0.01011904761904762
84,"frozenset({'세월호', '금지'})",0.010416666666666666
85,"frozenset({'무인기', '국방부'})",0.01130952380952381
86,"frozenset({'무인기', '파주'})",0.011607142857142858
87,"frozenset({'추락', '무인기'})",0.01011904761904762
88,"frozenset({'일본', '도쿄'})",0.01011904761904762
89,"frozenset({'일본', '정부'})",0.011607142857142858
90,"frozenset({'확인', '사고'})",0.011904761904761904
91,"frozenset({'세월호', '확인'})",0.011011904761904763
92,"frozenset({'정부', '사고'})",0.011011904761904763
93,"frozenset({'경찰', '사고'})",0.010416666666666666
