,itemsets,support
0,"frozenset({'실종자', '발견'})",0.010481657100074869
1,"frozenset({'발견', '수색'})",0.013975542800099825
2,"frozenset({'대통령', '가족'})",0.010232093835787373
3,"frozenset({'가족', '희생'})",0.018966808085849763
4,"frozenset({'팽목항', '가족'})",0.025954579485899677
5,"frozenset({'실종자', '가족'})",0.03893186922884952
6,"frozenset({'진도', '가족'})",0.029947591714499625
7,"frozenset({'가족', '세월호'})",0.028200648864487147
8,"frozenset({'가족', '구조'})",0.010980783628649862
9,"frozenset({'사고', '가족'})",0.024457199900174694
10,"frozenset({'가족', '본부'})",0.011479910157224856
11,"frozenset({'작업', '가족'})",0.014724232592962317
12,"frozenset({'가족', '수색'})",0.021462440728724733
13,"frozenset({'시신', '가족'})",0.010980783628649862
14,"frozenset({'가족', '대책'})",0.01746942850012478
15,"frozenset({'일본', '총리'})",0.010731220364362366
16,"frozenset({'대통령', '세월호'})",0.021212877464437233
17,"frozenset({'대통령', '청와대'})",0.021212877464437233
18,"frozenset({'대통령', '박근혜'})",0.015722485650112302
19,"frozenset({'대통령', '담화'})",0.012977289742949838
20,"frozenset({'추모', '희생'})",0.013226853007237334
21,"frozenset({'분향소', '희생'})",0.011729473421512353
22,"frozenset({'희생', '학생'})",0.01197903668579985
23,"frozenset({'실종자', '희생'})",0.018218118292987272
24,"frozenset({'진도', '희생'})",0.013476416271524832
25,"frozenset({'세월호', '희생'})",0.030696281507362116
26,"frozenset({'희생', '구조'})",0.010232093835787373
27,"frozenset({'안산', '희생'})",0.01197903668579985
28,"frozenset({'사고', '희생'})",0.015472922385824806
29,"frozenset({'합동', '희생'})",0.012478163214374845
30,"frozenset({'작업', '희생'})",0.010481657100074869
31,"frozenset({'희생', '수색'})",0.01746942850012478
32,"frozenset({'희생', '수습'})",0.013226853007237334
33,"frozenset({'참사', '희생'})",0.010481657100074869
34,"frozenset({'새정치', '민주'})",0.021212877464437233
35,"frozenset({'새누리당', '민주'})",0.013975542800099825
36,"frozenset({'민주', '후보'})",0.01197903668579985
37,"frozenset({'추모', '세월호'})",0.012977289742949838
38,"frozenset({'분향소', '안산'})",0.01272772647866234
39,"frozenset({'분향소', '합동'})",0.013975542800099825
40,"frozenset({'사고', '경찰'})",0.011479910157224856
41,"frozenset({'서울', '경찰'})",0.01197903668579985
42,"frozenset({'서울', '전국'})",0.010232093835787373
43,"frozenset({'세월호', '학생'})",0.01272772647866234
44,"frozenset({'단원고', '학생'})",0.012977289742949838
45,"frozenset({'안전', '사고'})",0.01746942850012478
46,"frozenset({'관리', '안전'})",0.010481657100074869
47,"frozenset({'재난', '안전'})",0.014225106064387321
48,"frozenset({'안전', '점검'})",0.011729473421512353
49,"frozenset({'사고', '현장'})",0.014474669328674819
50,"frozenset({'작업', '현장'})",0.010731220364362366
51,"frozenset({'유가족', '세월호'})",0.011729473421512353
52,"frozenset({'실종자', '팽목항'})",0.026952832543049664
53,"frozenset({'진도', '팽목항'})",0.028450212128774643
54,"frozenset({'팽목항', '세월호'})",0.01522335912153731
55,"frozenset({'팽목항', '진도군'})",0.010980783628649862
56,"frozenset({'팽목항', '전남'})",0.010980783628649862
57,"frozenset({'사고', '팽목항'})",0.018717244821562267
58,"frozenset({'작업', '팽목항'})",0.013476416271524832
59,"frozenset({'팽목항', '수색'})",0.017219865235837285
60,"frozenset({'실종자', '진도'})",0.04042924881457449
61,"frozenset({'실종자', '세월호'})",0.028949338657349638
62,"frozenset({'실종자', '구조'})",0.021961567257299724
63,"frozenset({'실종자', '침몰'})",0.011479910157224856
64,"frozenset({'실종자', '진도군'})",0.010980783628649862
65,"frozenset({'실종자', '전남'})",0.01123034689293736
66,"frozenset({'실종자', '특별'})",0.010232093835787373
67,"frozenset({'실종자', '사고'})",0.031195408035937112
68,"frozenset({'실종자', '해역'})",0.011479910157224856
69,"frozenset({'실종자', '합동'})",0.010731220364362366
70,"frozenset({'실종자', '본부'})",0.02171200399301223
71,"frozenset({'실종자', '작업'})",0.02645370601447467
72,"frozenset({'실종자', '수색'})",0.046169203893186926
73,"frozenset({'객실', '실종자'})",0.01123034689293736
74,"frozenset({'실종자', '잠수'})",0.013725979535812328
75,"frozenset({'시신', '실종자'})",0.017968555028699776
76,"frozenset({'실종자', '수습'})",0.017219865235837285
77,"frozenset({'실종자', '추가'})",0.01197903668579985
78,"frozenset({'실종자', '대책'})",0.021961567257299724
79,"frozenset({'실종자', '선체'})",0.010980783628649862
80,"frozenset({'실종자', '격실'})",0.01272772647866234
81,"frozenset({'실종자', '선수'})",0.010232093835787373
82,"frozenset({'실종자', '정조'})",0.011479910157224856
83,"frozenset({'진도', '세월호'})",0.0321936610930871
84,"frozenset({'진도', '구조'})",0.01672073870726229
85,"frozenset({'진도', '침몰'})",0.014724232592962317
86,"frozenset({'진도', '진도군'})",0.014474669328674819
87,"frozenset({'진도', '전남'})",0.01746942850012478
88,"frozenset({'진도', '특별'})",0.014724232592962317
89,"frozenset({'사고', '진도'})",0.03319191415023708
90,"frozenset({'해역', '진도'})",0.013975542800099825
91,"frozenset({'진도', '합동'})",0.010980783628649862
92,"frozenset({'진도', '본부'})",0.01946593461442476
93,"frozenset({'진도', '작업'})",0.021961567257299724
94,"frozenset({'진도', '수색'})",0.03768405290741203
95,"frozenset({'시신', '진도'})",0.013975542800099825
96,"frozenset({'진도', '수습'})",0.01123034689293736
97,"frozenset({'진도', '대책'})",0.01771899176441228
