,itemsets,support
0,"frozenset({'대통령', '미국'})",0.01058965102286402
1,"frozenset({'내년', '정부'})",0.01131167268351384
2,"frozenset({'지원', '정부'})",0.010348977135980746
3,"frozenset({'재정', '정부'})",0.01131167268351384
4,"frozenset({'부담', '정부'})",0.010830324909747292
5,"frozenset({'정부', '인상'})",0.01660649819494585
6,"frozenset({'혐의', '검찰'})",0.011793020457280385
7,"frozenset({'혐의', '선고'})",0.010830324909747292
8,"frozenset({'서울', '차량'})",0.017328519855595668
9,"frozenset({'구간', '차량'})",0.01684717208182912
10,"frozenset({'정체', '차량'})",0.018772563176895306
11,"frozenset({'부산', '차량'})",0.013477737665463297
12,"frozenset({'차량', '광주'})",0.010348977135980746
13,"frozenset({'차량', '고속도로'})",0.021660649819494584
14,"frozenset({'차량', '분기점'})",0.010830324909747292
15,"frozenset({'차량', '방향'})",0.013718411552346571
16,"frozenset({'차량', '도로공사'})",0.017328519855595668
17,"frozenset({'차량', '요금소'})",0.010348977135980746
18,"frozenset({'모바일', '배포'})",0.010830324909747292
19,"frozenset({'무단', '모바일'})",0.01131167268351384
20,"frozenset({'기자', '모바일'})",0.011552346570397111
21,"frozenset({'저작권', '모바일'})",0.011552346570397111
22,"frozenset({'구간', '서울'})",0.015643802647412757
23,"frozenset({'서울', '대전'})",0.010108303249097473
24,"frozenset({'정체', '서울'})",0.014681107099879662
25,"frozenset({'서울', '부산'})",0.011793020457280385
26,"frozenset({'서울', '전국'})",0.010830324909747292
27,"frozenset({'서울', '예상'})",0.010108303249097473
28,"frozenset({'서울', '대구'})",0.01227436823104693
29,"frozenset({'서울', '광주'})",0.012996389891696752
30,"frozenset({'서울', '고속도로'})",0.0161251504211793
31,"frozenset({'서울', '방향'})",0.011793020457280385
32,"frozenset({'서울', '도로공사'})",0.014681107099879662
33,"frozenset({'무단', '배포'})",0.01516245487364621
34,"frozenset({'금지', '배포'})",0.013477737665463297
35,"frozenset({'기자', '배포'})",0.010830324909747292
36,"frozenset({'저작권', '배포'})",0.011552346570397111
37,"frozenset({'무단', '금지'})",0.013477737665463297
38,"frozenset({'무단', '기자'})",0.01227436823104693
39,"frozenset({'무단', '저작권'})",0.012755716004813478
40,"frozenset({'기자', '저작권'})",0.010108303249097473
41,"frozenset({'구간', '정체'})",0.017087845968712396
42,"frozenset({'구간', '부산'})",0.011793020457280385
43,"frozenset({'구간', '고속도로'})",0.018531889290012035
44,"frozenset({'구간', '분기점'})",0.01058965102286402
45,"frozenset({'구간', '방향'})",0.012996389891696752
46,"frozenset({'구간', '도로공사'})",0.01516245487364621
47,"frozenset({'인천', '게임'})",0.01058965102286402
48,"frozenset({'인천', '아시안'})",0.01058965102286402
49,"frozenset({'금융', '회장'})",0.011793020457280385
50,"frozenset({'세월호', '의원'})",0.013959085439229843
51,"frozenset({'본회의', '세월호'})",0.01588447653429603
52,"frozenset({'새정치', '세월호'})",0.02503008423586041
53,"frozenset({'새누리당', '세월호'})",0.026474127557160047
54,"frozenset({'국회', '세월호'})",0.031287605294825514
55,"frozenset({'세월호', '위원장'})",0.015643802647412757
56,"frozenset({'세월호', '참사'})",0.010348977135980746
57,"frozenset({'원내대표', '세월호'})",0.02430806257521059
58,"frozenset({'세월호', '이완구'})",0.010348977135980746
59,"frozenset({'세월호', '일정'})",0.010108303249097473
60,"frozenset({'처리', '세월호'})",0.018772563176895306
61,"frozenset({'야당', '세월호'})",0.017087845968712396
62,"frozenset({'협상', '세월호'})",0.02117930204572804
63,"frozenset({'특별법', '세월호'})",0.029121540312876053
64,"frozenset({'의장', '세월호'})",0.010830324909747292
65,"frozenset({'유가족', '세월호'})",0.019735258724428398
66,"frozenset({'박영선', '세월호'})",0.01131167268351384
67,"frozenset({'세월호', '법안'})",0.01588447653429603
68,"frozenset({'합의', '세월호'})",0.01227436823104693
69,"frozenset({'세월호', '민생'})",0.01058965102286402
70,"frozenset({'여당', '세월호'})",0.010348977135980746
71,"frozenset({'본회의', '의원'})",0.011552346570397111
72,"frozenset({'새정치', '의원'})",0.01660649819494585
73,"frozenset({'새누리당', '의원'})",0.017087845968712396
74,"frozenset({'국회', '의원'})",0.02214199759326113
75,"frozenset({'위원장', '의원'})",0.013959085439229843
76,"frozenset({'원내대표', '의원'})",0.014199759326113117
77,"frozenset({'본회의', '새정치'})",0.013477737665463297
78,"frozenset({'새누리당', '본회의'})",0.01901323706377858
79,"frozenset({'국회', '본회의'})",0.023345367027677498
80,"frozenset({'원내대표', '본회의'})",0.012515042117930204
81,"frozenset({'국회의장', '본회의'})",0.012996389891696752
82,"frozenset({'처리', '본회의'})",0.013477737665463297
83,"frozenset({'야당', '본회의'})",0.011552346570397111
84,"frozenset({'특별법', '본회의'})",0.010830324909747292
