,itemsets,support
0,"frozenset({'경향', '경향신문'})",0.018425841674249318
1,"frozenset({'중국', '정부'})",0.01091901728844404
2,"frozenset({'중국', '해경'})",0.012056414922656961
3,"frozenset({'중국', '선장'})",0.010009099181073703
4,"frozenset({'중국', '불법'})",0.010464058234758872
5,"frozenset({'중국', '어선'})",0.011373976342129208
6,"frozenset({'정부', '남북'})",0.010236578707916288
7,"frozenset({'장관', '정부'})",0.013876251137397634
8,"frozenset({'정부', '요구'})",0.013193812556869881
9,"frozenset({'정부', '대화'})",0.010236578707916288
10,"frozenset({'정부', '행정'})",0.010691537761601456
11,"frozenset({'정부', '의원'})",0.010009099181073703
12,"frozenset({'정부', '북한'})",0.014103730664240218
13,"frozenset({'사고', '경찰'})",0.012056414922656961
14,"frozenset({'일본', '아베'})",0.010464058234758872
15,"frozenset({'한국', '미국'})",0.011373976342129208
16,"frozenset({'다운', '으리'})",0.014103730664240218
17,"frozenset({'저작권', '으리'})",0.012283894449499545
18,"frozenset({'으리', '배포'})",0.01091901728844404
19,"frozenset({'무단', '으리'})",0.01091901728844404
20,"frozenset({'대화', '남북'})",0.012738853503184714
21,"frozenset({'접촉', '남북'})",0.022065514103730664
22,"frozenset({'북한', '남북'})",0.027979981801637854
23,"frozenset({'남북관계', '남북'})",0.01091901728844404
24,"frozenset({'회담', '남북'})",0.012738853503184714
25,"frozenset({'고위', '남북'})",0.020473157415832575
26,"frozenset({'군사', '남북'})",0.010009099181073703
27,"frozenset({'저작권', '다운'})",0.012283894449499545
28,"frozenset({'다운', '배포'})",0.01091901728844404
29,"frozenset({'무단', '다운'})",0.01091901728844404
30,"frozenset({'저작권', '기자'})",0.011373976342129208
31,"frozenset({'저작권', '배포'})",0.014558689717925387
32,"frozenset({'저작권', '무단'})",0.013876251137397634
33,"frozenset({'저작권', '금지'})",0.010691537761601456
34,"frozenset({'기자', '배포'})",0.013876251137397634
35,"frozenset({'기자', '무단'})",0.013421292083712465
36,"frozenset({'기자', '금지'})",0.011146496815286623
37,"frozenset({'무단', '배포'})",0.018425841674249318
38,"frozenset({'금지', '배포'})",0.01569608735213831
39,"frozenset({'무단', '금지'})",0.01569608735213831
40,"frozenset({'학교', '학생'})",0.010236578707916288
41,"frozenset({'환자', '미국'})",0.010464058234758872
42,"frozenset({'미국', '감염'})",0.010009099181073703
43,"frozenset({'북한', '문제'})",0.010464058234758872
44,"frozenset({'아시아', '경제'})",0.0272975432211101
45,"frozenset({'성장', '경제'})",0.010691537761601456
46,"frozenset({'사고', '안전'})",0.022065514103730664
47,"frozenset({'대통령', '박근혜'})",0.010009099181073703
48,"frozenset({'대통령', '북한'})",0.010236578707916288
49,"frozenset({'통법', '이통'})",0.010691537761601456
50,"frozenset({'금융', '은행'})",0.012056414922656961
51,"frozenset({'사고', '세월호'})",0.011146496815286623
52,"frozenset({'사고', '밸리'})",0.010464058234758872
53,"frozenset({'사고', '판교'})",0.01637852593266606
54,"frozenset({'사고', '붕괴'})",0.011373976342129208
55,"frozenset({'사고', '풍구'})",0.01910828025477707
56,"frozenset({'사고', '테크노'})",0.011373976342129208
57,"frozenset({'사고', '덮개'})",0.011601455868971792
58,"frozenset({'선장', '해경'})",0.01364877161055505
59,"frozenset({'어선', '해경'})",0.011828935395814377
60,"frozenset({'유가족', '세월호'})",0.010464058234758872
61,"frozenset({'합의', '세월호'})",0.012738853503184714
62,"frozenset({'특별법', '세월호'})",0.014103730664240218
63,"frozenset({'야당', '세월호'})",0.011828935395814377
64,"frozenset({'원내대표', '세월호'})",0.013421292083712465
65,"frozenset({'세월호', '참사'})",0.013193812556869881
66,"frozenset({'협상', '세월호'})",0.011373976342129208
67,"frozenset({'국회', '세월호'})",0.014558689717925387
68,"frozenset({'새누리당', '세월호'})",0.012283894449499545
69,"frozenset({'세월호', '가족'})",0.010009099181073703
70,"frozenset({'새정치', '세월호'})",0.018198362147406732
71,"frozenset({'세월호', '의원'})",0.013421292083712465
72,"frozenset({'야당', '여당'})",0.011146496815286623
73,"frozenset({'야당', '국회'})",0.011373976342129208
74,"frozenset({'야당', '새누리당'})",0.011146496815286623
75,"frozenset({'야당', '새정치'})",0.010691537761601456
76,"frozenset({'새누리당', '원내대표'})",0.011828935395814377
77,"frozenset({'원내대표', '새정치'})",0.015013648771610554
78,"frozenset({'새누리당', '국회'})",0.015013648771610554
79,"frozenset({'국회', '국정감사'})",0.011601455868971792
80,"frozenset({'국회', '새정치'})",0.013876251137397634
81,"frozenset({'국회', '의원'})",0.01637852593266606
82,"frozenset({'새누리당', '새정치'})",0.019563239308462238
83,"frozenset({'새누리당', '의원'})",0.018880800727934487
84,"frozenset({'환자', '의료'})",0.01091901728844404
85,"frozenset({'통법', '시행'})",0.015013648771610554
86,"frozenset({'통법', '소비자'})",0.010236578707916288
87,"frozenset({'단말기', '통법'})",0.012966333030027298
88,"frozenset({'시행', '소비자'})",0.01091901728844404
89,"frozenset({'단말기', '시행'})",0.014331210191082803
90,"frozenset({'단말기', '소비자'})",0.010236578707916288
91,"frozenset({'환자', '병원'})",0.01364877161055505
92,"frozenset({'환자', '치료'})",0.011828935395814377
93,"frozenset({'환자', '감염'})",0.01251137397634213
94,"frozenset({'접촉', '대화'})",0.011373976342129208
95,"frozenset({'대화', '북한'})",0.015468607825295723
96,"frozenset({'대화', '고위'})",0.012056414922656961
97,"frozenset({'혐의', '검찰'})",0.014103730664240218
98,"frozenset({'수사', '검찰'})",0.010236578707916288
99,"frozenset({'접촉', '북한'})",0.020700636942675158
100,"frozenset({'접촉', '고위'})",0.020928116469517744
101,"frozenset({'바이러스', '감염'})",0.010009099181073703
102,"frozenset({'새정치', '의원'})",0.017743403093721567
103,"frozenset({'새정치', '민주'})",0.012738853503184714
104,"frozenset({'국감', '의원'})",0.010236578707916288
105,"frozenset({'공무원', '연금'})",0.011373976342129208
106,"frozenset({'남북관계', '북한'})",0.012738853503184714
107,"frozenset({'회담', '북한'})",0.01251137397634213
108,"frozenset({'비서', '북한'})",0.010009099181073703
109,"frozenset({'북한', '통일부'})",0.010464058234758872
110,"frozenset({'고위', '북한'})",0.022975432211101002
